Id,SalePrice
1461,122485.0
1462,166771.0
1463,185833.0
1464,194064.0
1465,181521.0
1466,186697.0
1467,175151.0
1468,172451.0
1469,189188.0
1470,122526.0
1471,201935.0
1472,94450.0
1473,95040.0
1474,154734.0
1475,123803.0
1476,360852.0
1477,265437.0
1478,317213.0
1479,302298.0
1480,469169.0
1481,329783.0
1482,219485.0
1483,166302.0
1484,165339.0
1485,180247.0
1486,201263.0
1487,338440.0
1488,233949.0
1489,210626.0
1490,212831.0
1491,186827.0
1492,95052.0
1493,196572.0
1494,307206.0
1495,312869.0
1496,238996.0
1497,183955.0
1498,158462.0
1499,164082.0
1500,157576.0
1501,172042.0
1502,150830.0
1503,282762.0
1504,245381.0
1505,228198.0
1506,179353.0
1507,244891.0
1508,192260.0
1509,163905.0
1510,147435.0
1511,141714.0
1512,178184.0
1513,141131.0
1514,179688.0
1515,212922.0
1516,155458.0
1517,165631.0
1518,131033.0
1519,226037.0
1520,130271.0
1521,133013.0
1522,166374.0
1523,105155.0
1524,124833.0
1525,123174.0
1526,124498.0
1527,104039.0
1528,143307.0
1529,144027.0
1530,168344.0
1531,103934.0
1532,101291.0
1533,132917.0
1534,110044.0
1535,163799.0
1536,109268.0
1537,67117.0
1538,168137.0
1539,217194.0
1540,94396.0
1541,142235.0
1542,140796.0
1543,220500.0
1544,84496.0
1545,114957.0
1546,128732.0
1547,145223.0
1548,134557.0
1549,109350.0
1550,139721.0
1551,114168.0
1552,135545.0
1553,150029.0
1554,110302.0
1555,180132.0
1556,101795.0
1557,112724.0
1558,106864.0
1559,91305.0
1560,152937.0
1561,150144.0
1562,130564.0
1563,121275.0
1564,150517.0
1565,154274.0
1566,243089.0
1567,73095.0
1568,246944.0
1569,121830.0
1570,139239.0
1571,127015.0
1572,147403.0
1573,245699.0
1574,119477.0
1575,214580.0
1576,239837.0
1577,197430.0
1578,140134.0
1579,142428.0
1580,207428.0
1581,162046.0
1582,130355.0
1583,338070.0
1584,228880.0
1585,140227.0
1586,76403.0
1587,102370.0
1588,144356.0
1589,101561.0
1590,139676.0
1591,89397.0
1592,125418.0
1593,126003.0
1594,152380.0
1595,118163.0
1596,227018.0
1597,197410.0
1598,197990.0
1599,173773.0
1600,175872.0
1601,71360.0
1602,106271.0
1603,94484.0
1604,259918.0
1605,255917.0
1606,173490.0
1607,185305.0
1608,229194.0
1609,197565.0
1610,150890.0
1611,147731.0
1612,149048.0
1613,165470.0
1614,118474.0
1615,88220.0
1616,62542.0
1617,90377.0
1618,122844.0
1619,139043.0
1620,189686.0
1621,133106.0
1622,136105.0
1623,284331.0
1624,212502.0
1625,126436.0
1626,160590.0
1627,195868.0
1628,282765.0
1629,185252.0
1630,334609.0
1631,210029.0
1632,245734.0
1633,176773.0
1634,186326.0
1635,190236.0
1636,146704.0
1637,194159.0
1638,210500.0
1639,173753.0
1640,257550.0
1641,169631.0
1642,227211.0
1643,228471.0
1644,230487.0
1645,193112.0
1646,161340.0
1647,166674.0
1648,128128.0
1649,142028.0
1650,121000.0
1651,121061.0
1652,95896.0
1653,98392.0
1654,147321.0
1655,149010.0
1656,146804.0
1657,152281.0
1658,144337.0
1659,132973.0
1660,153697.0
1661,464888.0
1662,407697.0
1663,410437.0
1664,459251.0
1665,336602.0
1666,332962.0
1667,386648.0
1668,347139.0
1669,304826.0
1670,364993.0
1671,273059.0
1672,428028.0
1673,320354.0
1674,254536.0
1675,200029.0
1676,198126.0
1677,225473.0
1678,436868.0
1679,399282.0
1680,345063.0
1681,273164.0
1682,324499.0
1683,196449.0
1684,175741.0
1685,175420.0
1686,176792.0
1687,167543.0
1688,186769.0
1689,192227.0
1690,190061.0
1691,185436.0
1692,262544.0
1693,167451.0
1694,190801.0
1695,166176.0
1696,300349.0
1697,175405.0
1698,388300.0
1699,335725.0
1700,251465.0
1701,275405.0
1702,284934.0
1703,272794.0
1704,302902.0
1705,230272.0
1706,406143.0
1707,214855.0
1708,219384.0
1709,285195.0
1710,214690.0
1711,257967.0
1712,284595.0
1713,272244.0
1714,221901.0
1715,213541.0
1716,186862.0
1717,180875.0
1718,135118.0
1719,190727.0
1720,233314.0
1721,168788.0
1722,131124.0
1723,156850.0
1724,217978.0
1725,238449.0
1726,184227.0
1727,154238.0
1728,184098.0
1729,166602.0
1730,162690.0
1731,122110.0
1732,135290.0
